Date,Source,Open,High,Low,Close,Adj Close,Volume,Stock
9/20/2017,yahoo,971.789978,974.809998,962.159973,973.210022,973.210022,2888800,amazon
9/21/2017,yahoo,971.309998,971.700012,962.02002,964.650024,964.650024,2337600,amazon
9/22/2017,yahoo,961.01001,965.609985,954.419983,955.099976,955.099976,2641800,amazon
9/25/2017,yahoo,949.309998,949.419983,932.890015,939.789978,939.789978,5124000,amazon
9/26/2017,yahoo,945.48999,948.630005,931.75,938.599976,938.599976,3564800,amazon
9/27/2017,yahoo,948,955.299988,943.299988,950.869995,950.869995,3148900,amazon
9/28/2017,yahoo,951.859985,959.700012,950.099976,956.400024,956.400024,2522600,amazon
9/29/2017,yahoo,960.109985,964.830017,958.380005,961.349976,961.349976,2543800,amazon
10/2/2017,yahoo,964,967.309998,952.119995,959.190002,959.190002,2442900,amazon
10/3/2017,yahoo,958,963.690002,950.369995,957.099976,957.099976,2666600,amazon
10/4/2017,yahoo,954.210022,967.789978,954.049988,965.450012,965.450012,2527400,amazon
10/5/2017,yahoo,970,981.51001,969.640015,980.849976,980.849976,3229200,amazon
10/6/2017,yahoo,975.640015,995.75,975.640015,989.580017,989.580017,3782100,amazon
10/9/2017,yahoo,993.23999,998.5,987.5,990.98999,990.98999,2938600,amazon
10/10/2017,yahoo,996.669983,997.950012,980.099976,987.200012,987.200012,3084900,amazon
10/11/2017,yahoo,991.27002,995.5,986.700012,995,995,2337100,amazon
10/12/2017,yahoo,996.809998,1008.440002,992.400024,1000.929993,1000.929993,4067300,amazon
10/13/2017,yahoo,1007,1007.77002,1001.030029,1002.940002,1002.940002,2431500,amazon
10/16/2017,yahoo,1008.440002,1009.570007,1001.039978,1006.340027,1006.340027,2008900,amazon
10/17/2017,yahoo,1005.590027,1011.469971,1004.380005,1009.130005,1009.130005,2319700,amazon
10/18/2017,yahoo,1009.27002,1022.309998,996.549988,997,997,2499700,amazon
10/19/2017,yahoo,990,991.049988,980.23999,986.609985,986.609985,3108200,amazon
10/20/2017,yahoo,993.530029,994.619995,982,982.909973,982.909973,2365100,amazon
